,Unnamed: 0,Subdistcode,Subdistrict,Districtcode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
316,314,3069,Krushna Prasad ,387,44310,22820,21490,3153,3562,4210,4024,4235,3979,3410,3383,3025,2633,2081,1650,1590,1154,991,530,574,117
317,315,3070,Puri (M),387,154544,80202,74342,10999,12424,14684,14037,14773,13879,11894,11801,10551,9186,7259,5758,5548,4026,3456,1848,2003,409
318,316,3071,Tarasingi,388,65605,33103,32502,5372,6326,7212,6544,5941,5416,4763,4720,4187,3519,2818,2253,2298,1519,1276,578,657,200
319,317,3072,Buguda,388,105156,52167,52989,8611,10139,11559,10489,9523,8681,7635,7566,6711,5641,4516,3611,3684,2435,2045,926,1053,321
320,318,3073,Jagannath Prasad,388,61684,31023,30661,5051,5947,6780,6153,5586,5092,4479,4438,3936,3309,2649,2118,2161,1428,1199,543,617,188
321,319,3074,Bhanjanagar,388,136826,68675,68151,11204,13193,15041,13649,12391,11296,9935,9845,8732,7340,5877,4699,4793,3168,2661,1206,1370,418
322,320,3075,Gangapur,388,88379,43591,44788,7237,8522,9715,8816,8003,7296,6417,6359,5640,4741,3796,3035,3096,2046,1718,779,885,270
323,321,3076,Surada,388,67692,34087,33605,5543,6527,7441,6752,6130,5588,4915,4870,4320,3631,2907,2324,2371,1567,1316,596,678,207
324,322,3077,Badagada,388,97145,48456,48689,7955,9367,10679,9690,8797,8020,7054,6989,6200,5211,4172,3336,3403,2249,1889,856,973,297
325,323,3078,Asika,388,110991,55779,55212,9088,10702,12201,11071,10051,9163,8059,7986,7084,5954,4767,3811,3888,2570,2158,978,1111,339
326,324,3079,Dharakote,388,44411,22297,22114,3636,4282,4882,4430,4021,3666,3224,3195,2834,2382,1907,1525,1555,1028,863,391,444,135
327,325,3080,Kabisuryanagar,388,136367,68231,68136,11167,13149,14990,13603,12349,11258,9902,9812,8703,7316,5857,4683,4777,3158,2652,1202,1365,417
328,326,3081,Polasara,388,105535,53231,52304,8642,10176,11601,10527,9557,8713,7663,7593,6735,5662,4533,3624,3697,2444,2052,930,1057,322
329,327,3082,Kodala,388,116818,59038,57780,9566,11264,12841,11653,10579,9644,8482,8405,7455,6267,5017,4011,4092,2705,2272,1029,1170,357
330,328,3083,Khalikote,388,113263,58319,54944,9275,10921,12451,11298,10257,9351,8224,8149,7229,6076,4865,3889,3968,2623,2202,998,1134,346
331,329,3084,Rambha,388,73849,37217,36632,6047,7120,8118,7366,6687,6097,5362,5313,4713,3962,3172,2536,2587,1710,1436,650,739,225
332,330,3085,Chhatrapur,388,73096,36645,36451,5985,7048,8035,7291,6619,6034,5307,5259,4665,3921,3139,2510,2560,1692,1421,644,732,223
333,331,3086,Ganjam,388,34928,17347,17581,2860,3367,3839,3484,3163,2883,2536,2513,2229,1873,1500,1199,1223,808,679,307,349,106
334,332,3087,Chamakhandi,388,37238,18489,18749,3049,3590,4093,3714,3372,3074,2703,2679,2376,1997,1599,1278,1304,862,724,328,372,113
335,333,3088,Arjyapalli Marine,388,6176,3085,3091,505,595,678,616,559,509,448,444,394,331,265,212,216,143,120,54,61,18
336,334,3089,Purusottampur,388,123420,61224,62196,10106,11900,13567,12311,11177,10189,8961,8880,7877,6621,5301,4238,4323,2858,2400,1087,1236,377
337,335,3090,Hinjili,388,125666,63001,62665,10290,12117,13814,12535,11380,10375,9125,9042,8020,6742,5397,4315,4402,2910,2444,1107,1258,384
338,336,3091,Patapur,388,103120,52581,50539,8444,9943,11336,10286,9338,8513,7487,7419,6581,5532,4429,3541,3612,2388,2005,908,1032,315
339,337,3092,Seragad,388,51124,26072,25052,4186,4929,5620,5099,4629,4220,3712,3678,3262,2742,2196,1755,1791,1183,994,450,512,156
340,338,3093,Brahmapur Sadar,388,110986,56894,54092,9088,10701,12200,11071,10051,9163,8059,7985,7083,5954,4767,3811,3888,2570,2158,978,1111,339
341,339,3094,Gopalpur,388,52462,27163,25299,4296,5058,5767,5233,4751,4331,3809,3774,3348,2814,2253,1801,1837,1214,1020,462,525,160
342,340,3095,Golanthara,388,113934,56641,57293,9329,10986,12524,11365,10318,9406,8273,8197,7271,6112,4893,3912,3991,2638,2215,1004,1141,348
343,341,3096,Digapahandi,388,105949,53064,52885,8676,10216,11647,10568,9595,8747,7693,7623,6762,5684,4550,3638,3711,2453,2060,933,1061,324
344,342,3097,Nuagaon,388,88345,44287,44058,7234,8518,9711,8812,8000,7293,6415,6356,5638,4739,3794,3034,3095,2045,1718,778,884,270
345,343,3098,Jarada,388,88936,43390,45546,7282,8575,9776,8871,8054,7342,6457,6399,5676,4771,3820,3054,3115,2059,1729,783,890,272
346,344,3099,Brahmapur (M.Corp.),388,275296,143404,131892,22543,26545,30263,27462,24931,22728,19990,19808,17570,14769,11825,9454,9644,6375,5354,2426,2757,842
347,345,3109,Ramagiri,388,10024,5044,4980,820,966,1101,999,907,827,727,721,639,537,430,344,351,232,194,88,100,30
348,345,3109,Ramagiri,388,10024,5044,4980,2396,2939,2730,2237,1985,1839,1595,1631,1448,1217,935,734,788,457,320,119,123,135
349,355,3109,Ramagiri,389,23637,11456,12181,820,966,1101,999,907,827,727,721,639,537,430,344,351,232,194,88,100,30
350,355,3109,Ramagiri,389,23637,11456,12181,2396,2939,2730,2237,1985,1839,1595,1631,1448,1217,935,734,788,457,320,119,123,135
351,346,3100,Adva ,389,46669,22717,23952,4730,5804,5391,4418,3919,3631,3150,3220,2859,2404,1846,1450,1557,903,633,235,244,267
352,347,3101,Mohana ,389,58540,28704,29836,5934,7280,6763,5542,4917,4554,3951,4039,3586,3016,2315,1819,1953,1132,794,295,306,335
353,348,3102,R.Udaygiri ,389,67910,33266,34644,6884,8446,7845,6429,5704,5283,4583,4686,4160,3498,2686,2110,2266,1314,921,343,356,389
354,349,3103,Serango ,389,61205,29750,31455,6204,7612,7070,5794,5140,4762,4131,4223,3749,3153,2421,1902,2042,1184,830,309,320,351
355,350,3104,Kashinagara ,389,40877,20090,20787,4143,5084,4722,3869,3433,3180,2759,2820,2504,2106,1616,1270,1364,791,554,206,214,234
356,351,3105,Parlakhemundi ,389,61146,30614,30532,6198,7604,7064,5788,5135,4757,4127,4219,3745,3150,2418,1900,2040,1183,829,309,320,350
357,352,3106,Gurandi,389,35445,17301,18144,3593,4408,4094,3355,2977,2757,2392,2445,2171,1826,1402,1101,1183,685,480,179,185,203
358,353,3107,Rayagada ,389,36379,17459,18920,3687,4524,4202,3444,3055,2830,2455,2510,2228,1874,1439,1130,1214,704,493,183,190,208
