,State,Districtcode,Subdistcode,Town/Village,Ward,EB,Level,Subdistrict,TRU,No_HH,Population,Males,Females,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
315,21,387,3070,0,0,0,SUB-DISTRICT,Puri (M),Total,41140,200564,104086,96478,18471,9610,8861,15627,7869,7758,1022,587,435,160301,86328,73973,40263,17758,22505,71788,58806,12982,66752,55988,10764,121,95,26,395,317,78,2710,2107,603,63526,53469,10057,5036,2818,2218,127,63,64,287,206,81,413,158,255,4209,2391,1818,4628,2614,2014,124,61,63,273,194,79,337,135,202,3894,2224,1670,408,204,204,3,2,1,14,12,2,76,23,53,315,167,148,128776,45280,83496
316,21,388,3071,0,0,0,SUB-DISTRICT,Tarasingi,Total,19762,84981,42880,42101,10599,5636,4963,22763,11458,11305,10241,5143,5098,52661,30333,22328,32320,12547,19773,39122,25069,14053,20973,16572,4401,6827,6224,603,6898,4283,2615,753,585,168,6495,5480,1015,18149,8497,9652,1667,961,706,11997,4656,7341,692,259,433,3793,2621,1172,14226,6969,7257,1280,827,453,9343,3743,5600,558,223,335,3045,2176,869,3923,1528,2395,387,134,253,2654,913,1741,134,36,98,748,445,303,45859,17811,28048
317,21,388,3072,0,0,0,SUB-DISTRICT,Buguda,Total,29924,136212,67575,68637,16146,8387,7759,26924,13258,13666,2359,1169,1190,88605,49030,39575,47607,18545,29062,55641,37149,18492,28822,24171,4651,9057,8036,1021,4897,3225,1672,1113,958,155,13755,11952,1803,26819,12978,13841,2477,1440,1037,16328,5933,10395,1177,789,388,6837,4816,2021,21856,10979,10877,2174,1293,881,13132,5025,8107,957,651,306,5593,4010,1583,4963,1999,2964,303,147,156,3196,908,2288,220,138,82,1244,806,438,80571,30426,50145
318,21,388,3073,0,0,0,SUB-DISTRICT,Jagannath Prasad,Total,18600,79901,40186,39715,9200,4802,4398,18428,9294,9134,984,508,476,54974,30159,24815,24927,10027,14900,34173,23239,10934,17089,14886,2203,6177,5656,521,4105,3297,808,712,656,56,6095,5277,818,17084,8353,8731,1503,930,573,11560,4660,6900,667,507,160,3354,2256,1098,13678,7002,6676,1066,705,361,9144,3866,5278,547,433,114,2921,1998,923,3406,1351,2055,437,225,212,2416,794,1622,120,74,46,433,258,175,45728,16947,28781
319,21,388,3074,0,0,0,SUB-DISTRICT,Bhanjanagar,Total,38693,177235,88958,88277,20687,10864,9823,35126,17335,17791,9111,4528,4583,120876,66727,54149,56359,22231,34128,75213,50796,24417,44261,35987,8274,9848,8713,1135,8696,5734,2962,1661,1328,333,24056,20212,3844,30952,14809,16143,2836,1511,1325,16068,5307,10761,1679,819,860,10369,7172,3197,24144,12117,12027,2350,1311,1039,12494,4496,7998,1162,569,593,8138,5741,2397,6808,2692,4116,486,200,286,3574,811,2763,517,250,267,2231,1431,800,102022,38162,63860
320,21,388,3075,0,0,0,SUB-DISTRICT,Gangapur,Total,23918,114480,56466,58014,13667,7182,6485,16556,8053,8503,2164,1060,1104,75110,41266,33844,39370,15200,24170,47324,31291,16033,25891,20902,4989,9851,8436,1415,5153,3016,2137,1110,981,129,9777,8469,1308,21433,10389,11044,2123,1156,967,13319,4789,8530,1214,965,249,4777,3479,1298,17517,8809,8708,1734,966,768,10862,4066,6796,1048,880,168,3873,2897,976,3916,1580,2336,389,190,199,2457,723,1734,166,85,81,904,582,322,67156,25175,41981
321,21,388,3076,0,0,0,SUB-DISTRICT,Surada,Total,19129,87684,44155,43529,11593,6073,5520,21090,10395,10695,6629,3349,3280,48319,28037,20282,39365,16118,23247,40457,25361,15096,22688,18633,4055,8976,7767,1209,4195,2877,1318,564,451,113,8953,7538,1415,17769,6728,11041,1575,713,862,11896,3274,8622,738,368,370,3560,2373,1187,14596,5789,8807,1332,608,724,9622,2755,6867,580,320,260,3062,2106,956,3173,939,2234,243,105,138,2274,519,1755,158,48,110,498,267,231,47227,18794,28433
322,21,388,3077,0,0,0,SUB-DISTRICT,Badagada,Total,27397,125836,62767,63069,17259,8970,8289,24373,12044,12329,18933,9293,9640,63468,37369,26099,62368,25398,36970,62045,36534,25511,30956,24038,6918,13971,12022,1949,8683,5021,3662,1515,1213,302,6787,5782,1005,31089,12496,18593,3236,1581,1655,22847,7677,15170,990,414,576,4016,2824,1192,25788,10819,14969,2818,1402,1416,19036,6775,12261,769,328,441,3165,2314,851,5301,1677,3624,418,179,239,3811,902,2909,221,86,135,851,510,341,63791,26233,37558
323,21,388,3078,0,0,0,SUB-DISTRICT,Asika,Total,30153,143770,72253,71517,16351,8644,7707,27828,13801,14027,688,345,343,97196,54701,42495,46574,17552,29022,56429,39605,16824,35762,29364,6398,8852,7710,1142,5786,3248,2538,1925,1698,227,19199,16708,2491,20667,10241,10426,1849,940,909,11765,3998,7767,856,653,203,6197,4650,1547,17056,8750,8306,1581,828,753,9633,3443,6190,737,586,151,5105,3893,1212,3611,1491,2120,268,112,156,2132,555,1577,119,67,52,1092,757,335,87341,32648,54693
324,21,388,3079,0,0,0,SUB-DISTRICT,Dharakote,Total,12199,57528,28883,28645,6919,3685,3234,10491,5098,5393,187,100,87,36437,20744,15693,21091,8139,12952,23594,15866,7728,13287,10920,2367,4234,3809,425,3414,2217,1197,1031,953,78,4608,3941,667,10307,4946,5361,1045,538,507,6192,2299,3893,597,420,177,2473,1689,784,8708,4332,4376,769,479,290,5216,1971,3245,561,401,160,2162,1481,681,1599,614,985,276,59,217,976,328,648,36,19,17,311,208,103,33934,13017,20917
